"region","height","gender"
"1","wealthy",134.3,"M"
"2","wealthy",140.8,"F"
"3","wealthy",139.5,"M"
"4","wealthy",139.3,"F"
"5","wealthy",152.3,"M"
"6","wealthy",139.3,"M"
"7","wealthy",136.7,"M"
"8","wealthy",140.5,"M"
"9","wealthy",138.7,"M"
"10","wealthy",135.8,"F"
"11","wealthy",148.3,"M"
"12","wealthy",135.6,"M"
"13","wealthy",136.6,"F"
"14","wealthy",146,"F"
"15","wealthy",139.2,"M"
"16","wealthy",134.7,"M"
"17","wealthy",137.4,"F"
"18","wealthy",141.6,"F"
"19","wealthy",147.9,"F"
"20","wealthy",145.4,"F"
"21","wealthy",135.8,"F"
"22","wealthy",142.7,"M"
"23","wealthy",142.1,"F"
"24","wealthy",139.3,"M"
"25","wealthy",128.7,"F"
"26","wealthy",132.2,"M"
"27","wealthy",139.5,"M"
"28","wealthy",137.5,"M"
"29","wealthy",137.7,"M"
"30","wealthy",152.5,"M"
"31","wealthy",141.7,"F"
"32","wealthy",124.5,"F"
"33","wealthy",128.9,"M"
"34","wealthy",138.4,"F"
"35","wealthy",136.6,"F"
"36","wealthy",117.6,"F"
"37","wealthy",137.6,"M"
"38","wealthy",139.2,"F"
"39","wealthy",134.7,"F"
"40","wealthy",138.3,"M"
"41","wealthy",132.7,"F"
"42","wealthy",135.5,"F"
"43","wealthy",138.1,"M"
"44","wealthy",136.5,"M"
"45","wealthy",138.5,"F"
"46","wealthy",144.2,"M"
"47","wealthy",151.9,"F"
"48","wealthy",145.4,"F"
"49","wealthy",142.8,"M"
"50","wealthy",139.9,"F"
"51","wealthy",140.1,"F"
"52","wealthy",134.3,"F"
"53","wealthy",135.6,"F"
"54","wealthy",145.8,"F"
"55","wealthy",150.7,"F"
"56","wealthy",137.1,"F"
"57","wealthy",138.4,"F"
"58","wealthy",152.6,"M"
"59","wealthy",140.9,"M"
"60","wealthy",132.8,"M"
"61","wealthy",124.4,"F"
"62","wealthy",132,"M"
"63","wealthy",129.8,"M"
"64","wealthy",147.6,"M"
"65","wealthy",147.4,"F"
"66","wealthy",131.1,"M"
"67","wealthy",133.5,"F"
"68","wealthy",136.5,"M"
"69","wealthy",134.2,"F"
"70","wealthy",135.4,"F"
"71","poor",130.9,"F"
"72","poor",144.4,"M"
"73","poor",144.2,"M"
"74","poor",135.5,"M"
"75","poor",142.2,"F"
"76","poor",138.7,"M"
"77","poor",134.6,"M"
"78","poor",133.6,"F"
"79","poor",119.1,"F"
"80","poor",129.4,"M"
"81","poor",137.8,"F"
"82","poor",137.9,"F"
"83","poor",130.2,"F"
"84","poor",132,"F"
"85","poor",129.4,"F"
"86","poor",129.5,"M"
"87","poor",135.4,"F"
"88","poor",136.6,"F"
"89","poor",144.4,"M"
"90","poor",133.8,"F"
"91","poor",134.3,"M"
"92","poor",140.6,"F"
"93","poor",140.9,"M"
"94","poor",126.3,"F"
"95","poor",142.3,"F"
"96","poor",138.2,"M"
"97","poor",131.8,"M"
"98","poor",139.2,"M"
"99","poor",132.3,"M"
"100","poor",134.7,"M"
"101","poor",144.9,"M"
"102","poor",129.7,"F"
"103","poor",131.1,"M"
"104","poor",138.7,"F"
"105","poor",137,"F"
"106","poor",142.7,"M"
"107","poor",135.8,"M"
"108","poor",130.3,"M"
"109","poor",138,"M"
"110","poor",130.5,"F"
"111","poor",142.3,"M"
"112","poor",142.4,"F"
"113","poor",148.4,"F"
"114","poor",129.5,"F"
"115","poor",141.4,"F"
"116","poor",140.4,"F"
"117","poor",130.3,"M"
"118","poor",140.5,"M"
"119","poor",138.3,"F"
"120","poor",137,"F"
"121","poor",132.1,"M"
"122","poor",127.9,"F"
"123","poor",133.9,"M"
"124","poor",125.9,"M"
"125","poor",133.5,"F"
"126","poor",150.9,"M"
"127","poor",138.6,"M"
"128","poor",128.8,"F"
"129","poor",123,"F"
"130","poor",140.6,"M"
"131","poor",133.9,"M"
"132","poor",138.6,"F"
"133","poor",129.8,"M"
"134","poor",139.4,"F"
"135","poor",141,"F"
"136","poor",123.4,"F"
"137","poor",141.8,"M"
"138","poor",134.5,"F"
"139","poor",132.8,"M"
"140","poor",141.2,"M"
"141","poor",138.7,"M"
"142","poor",142.9,"F"
"143","poor",128.6,"M"
"144","poor",131,"M"
"145","poor",136.6,"F"
"146","poor",150.6,"F"
"147","poor",127.9,"F"
"148","poor",143.3,"F"
