          redshift T90  pT90     mT90     Eiso   pEiso    mEiso     Epeak   pEpeak     mEpeak
130603B   0.356   0.22  +0.01    -0.01    0.212  +0.023   -0.023    660     +60.49     -60.49 
111117A   1.31    0.576 +0.143   -0.143   0.34   +0.13    -0.13     420     +140       -140   
101219A   0.718   0.86  +0.06    -0.06    0.488  +0.068   -0.068    490     +103       -79     
100625A   0.452   0.192 +0.143   -0.143   0.075  +0.003   -0.003    486     +80        -80     
100206A   0.408   0.128 +0.091   -0.091   0.0467 +0.0061  -0.0061   502.8   +48.9      -48.9    
100117A   0.915   0.51  +0.19    -0.19    0.78   +0.1     -0.1      285.5   +43.6      -43.6    
090927    1.37    0.512 +0.231   -0.231   0.276  +0.035   -0.035    59.67   +1.81      -1.81    
090510A   0.903   0.96  +0.138   -0.138   3.95   +0.21    -0.21     3583.42 +468       -432.9   
090227B   1.61    1.28  +1.026   -1.026   28.3   +1.5     -1.5      1963    +150.48    -133.96   
081024B   3.05    0.64  +0.264   -0.264   2.44   +0.22    -0.22     1404.91 +2236.52   -1067.2   
080905A   0.122   0.96  +0.345   -0.345   0.0658 +0.0096  -0.0096   586     +260.696   -110.0851  
070729    0.8     1     +0.06    -0.06    0.113  +0.044   -0.044    370     +375.0152  -145.1672 
070429B   0.904   0.32  +0.006   -0.006   0.0475 +0.0071  -0.0071   120     +451.228   -39.92    
061217    0.827   0.35  +0.036   -0.036   0.423  +0.072   -0.072    400     +489.9392  -157.2644 
061210A   0.409   0.1   +0.012   -0.012   0.0024 +0.0006  -0.0006   540     +459.696   -187.5076 
061201    0.111   0.86  +0.03    -0.03    0.0151 +0.0073  -0.0073   873     +458       -284       
060801A   1.13    0.7   +0.06    -0.06    3.27   +0.49    -0.49     620     +647.2     -205.65    
060502B   0.287   0.16  +0.018   -0.018   0.0433 +0.0053  -0.0053   340     +435.5015  -114.924  
051221A   0.547   1.24  +0.024   -0.024   0.263  +0.033   -0.033    238     +105.85    -48.99    
000926A   2.07    1.3   +0.59    -0.59    28.6   +6.2     -6.2      100.997 +5.99      -5.99   
